Komoditas,Tahun,Bulan,Harga
 Minyak Goreng Kemasan,2023,April,Rp18.267
 Minyak Goreng Curah,2023,April,Rp15.075
 Jagung Tk. Peternak,2023,April,Rp6.105
 Ikan Kembung,2023,April,Rp40.886
 Ikan Tongkol,2023,April,Rp37.167
 Ikan Bandeng,2023,April,Rp36.107
 Garam konsumsi,2023,April,Rp11.849
 Beras Premium,2023,Mei,Rp13.662
 Beras Medium,2023,Mei,Rp11.930
 Kedelai Biji Kering,2023,Mei,Rp13.391
 Bawang Merah,2023,Mei,Rp39.244
 Bawang Putih (Bonggol),2023,Mei,Rp36.313
 Cabai Merah Keriting,2023,Mei,Rp36.460
Cabai Rawit Merah,2023,Mei,Rp42.257
 Daging Sapi Murni,2023,Mei,Rp136.245
 Daging Ayam Ras,2023,Mei,Rp36.855
 Telur Ayam Ras,2023,Mei,Rp30.338
 Gula Pasir Lokal/Curah,2023,Mei,Rp14.475
 Tepung Terigu Curah,2023,Mei,Rp11.216
 Tepung Terigu Kemasan,2023,Mei,Rp13.811
 Minyak Goreng Kemasan,2023,Mei,Rp18.198
 Minyak Goreng Curah,2023,Mei,Rp15.050
 Jagung Tk. Peternak,2023,Mei,Rp6.217
 Ikan Kembung,2023,Mei,Rp40.993
 Ikan Tongkol,2023,Mei,Rp37.221
 Ikan Bandeng,2023,Mei,Rp35.962
 Garam konsumsi,2023,Mei,Rp11.936
 Beras Premium,2023,Juni,Rp13.657
 Beras Medium,2023,Juni,Rp11.905
 Kedelai Biji Kering,2023,Juni,Rp13.057
 Bawang Merah,2023,Juni,Rp38.334
 Bawang Putih (Bonggol),2023,Juni,Rp37.832
 Cabai Merah Keriting,2023,Juni,Rp38.706
Cabai Rawit Merah,2023,Juni,Rp44.801
 Daging Sapi Murni,2023,Juni,Rp136.314
 Daging Ayam Ras,2023,Juni,Rp38.607
 Telur Ayam Ras,2023,Juni,Rp30.636
 Gula Pasir Lokal/Curah,2023,Juni,Rp14.533
 Tepung Terigu Curah,2023,Juni,Rp11.151
 Tepung Terigu Kemasan,2023,Juni,Rp13.769
 Minyak Goreng Kemasan,2023,Juni,Rp18.072
 Minyak Goreng Curah,2023,Juni,Rp14.971
 Jagung Tk. Peternak,2023,Juni,Rp6.259
 Ikan Kembung,2023,Juni,Rp40.790
 Ikan Tongkol,2023,Juni,Rp36.868
 Ikan Bandeng,2023,Juni,Rp35.606
 Garam konsumsi,2023,Juni,Rp11.978
 Beras Premium,2023,Juli,Rp13.669
 Beras Medium,2023,Juli,Rp11.977
 Kedelai Biji Kering,2023,Juli,Rp13.098
 Bawang Merah,2023,Juli,Rp35.513
 Bawang Putih (Bonggol),2023,Juli,Rp40.433
 Cabai Merah Keriting,2023,Juli,Rp41.279
Cabai Rawit Merah,2023,Juli,Rp43.276
 Daging Sapi Murni,2023,Juli,Rp135.789
 Daging Ayam Ras,2023,Juli,Rp37.898
 Telur Ayam Ras,2023,Juli,Rp30.943
 Gula Pasir Lokal/Curah,2023,Juli,Rp14.647
 Tepung Terigu Curah,2023,Juli,Rp11.126
 Tepung Terigu Kemasan,2023,Juli,Rp13.748
 Minyak Goreng Kemasan,2023,Juli,Rp17.893
 Minyak Goreng Curah,2023,Juli,Rp14.847
 Jagung Tk. Peternak,2023,Juli,Rp6.239
 Ikan Kembung,2023,Juli,Rp40.746
 Ikan Tongkol,2023,Juli,Rp36.594
 Ikan Bandeng,2023,Juli,Rp35.530
 Garam konsumsi,2023,Juli,Rp12.011
 Beras Premium,2023,Agustus,Rp13.872
 Beras Medium,2023,Agustus,Rp12.187
 Kedelai Biji Kering,2023,Agustus,Rp13.063
 Bawang Merah,2023,Agustus,Rp29.170
 Bawang Putih (Bonggol),2023,Agustus,Rp39.338
 Cabai Merah Keriting,2023,Agustus,Rp42.965
Cabai Rawit Merah,2023,Agustus,Rp46.711
 Daging Sapi Murni,2023,Agustus,Rp135.807
 Daging Ayam Ras,2023,Agustus,Rp36.053
 Telur Ayam Ras,2023,Agustus,Rp30.470
 Gula Pasir Lokal/Curah,2023,Agustus,Rp14.767
 Tepung Terigu Curah,2023,Agustus,Rp11.107
 Tepung Terigu Kemasan,2023,Agustus,Rp13.769
 Minyak Goreng Kemasan,2023,Agustus,Rp17.780
 Minyak Goreng Curah,2023,Agustus,Rp14.738
 Jagung Tk. Peternak,2023,Agustus,Rp6.721
 Ikan Kembung,2023,Agustus,Rp40.649
 Ikan Tongkol,2023,Agustus,Rp36.453
 Ikan Bandeng,2023,Agustus,Rp35.270
 Garam konsumsi,2023,Agustus,Rp12.052
 Beras Premium,2023,September,Rp14.582
 Beras Medium,2023,September,Rp12.940
 Kedelai Biji Kering,2023,September,Rp13.105
 Bawang Merah,2023,September,Rp25.148
 Bawang Putih (Bonggol),2023,September,Rp37.651
 Cabai Merah Keriting,2023,September,Rp41.007
Cabai Rawit Merah,2023,September,Rp38.539
 Daging Sapi Murni,2023,September,Rp135.772
 Daging Ayam Ras,2023,September,Rp35.626
 Telur Ayam Ras,2023,September,Rp29.054
 Gula Pasir Lokal/Curah,2023,September,Rp15.014
 Tepung Terigu Curah,2023,September,Rp11.054
 Tepung Terigu Kemasan,2023,September,Rp13.758
 Minyak Goreng Kemasan,2023,September,Rp17.653
 Minyak Goreng Curah,2023,September,Rp14.687
 Jagung Tk. Peternak,2023,September,Rp7.064
 Ikan Kembung,2023,September,Rp40.305
 Ikan Tongkol,2023,September,Rp36.396
 Ikan Bandeng,2023,September,Rp35.601
 Garam konsumsi,2023,September,Rp12.074
 Beras Premium,2023,Oktober,Rp15.014
 Beras Medium,2023,Oktober,Rp13.277
 Kedelai Biji Kering,2023,Oktober,Rp13.222
 Bawang Merah,2023,Oktober,Rp24.403
 Bawang Putih (Bonggol),2023,Oktober,Rp36.810
 Cabai Merah Keriting,2023,Oktober,Rp46.029
Cabai Rawit Merah,2023,Oktober,Rp55.904
 Daging Sapi Murni,2023,Oktober,Rp135.393
 Daging Ayam Ras,2023,Oktober,Rp35.808
 Telur Ayam Ras,2023,Oktober,Rp28.248
 Gula Pasir Lokal/Curah,2023,Oktober,Rp15.681
 Tepung Terigu Curah,2023,Oktober,Rp11.021
 Tepung Terigu Kemasan,2023,Oktober,Rp13.712
 Minyak Goreng Kemasan,2023,Oktober,Rp17.581
 Minyak Goreng Curah,2023,Oktober,Rp14.623
 Jagung Tk. Peternak,2023,Oktober,Rp7.322
 Ikan Kembung,2023,Oktober,Rp39.520
 Ikan Tongkol,2023,Oktober,Rp35.667
 Ikan Bandeng,2023,Oktober,Rp35.610
 Garam konsumsi,2023,Oktober,Rp11.972
 Beras Premium,2023,November,Rp15.045
 Beras Medium,2023,November,Rp13.234
 Kedelai Biji Kering,2023,November,Rp13.455
 Bawang Merah,2023,November,Rp28.846
 Bawang Putih (Bonggol),2023,November,Rp36.112
 Cabai Merah Keriting,2023,November,Rp65.453
Cabai Rawit Merah,2023,November,Rp79.462
 Daging Sapi Murni,2023,November,Rp135.300
 Daging Ayam Ras,2023,November,Rp35.219
 Telur Ayam Ras,2023,November,Rp28.415
 Gula Pasir Lokal/Curah,2023,November,Rp16.703
 Tepung Terigu Curah,2023,November,Rp10.972
 Tepung Terigu Kemasan,2023,November,Rp13.689
 Minyak Goreng Kemasan,2023,November,Rp17.558
 Minyak Goreng Curah,2023,November,Rp14.690
 Jagung Tk. Peternak,2023,November,Rp7.499
 Ikan Kembung,2023,November,Rp39.109
 Ikan Tongkol,2023,November,Rp34.754
 Ikan Bandeng,2023,November,Rp35.250
 Garam konsumsi,2023,November,Rp11.987
 Beras Premium,2023,Desember,Rp15.057
 Beras Medium,2023,Desember,Rp13.255
 Kedelai Biji Kering,2023,Desember,Rp13.492
 Bawang Merah,2023,Desember,Rp33.359
 Bawang Putih (Bonggol),2023,Desember,Rp36.954
 Cabai Merah Keriting,2023,Desember,Rp66.834
Cabai Rawit Merah,2023,Desember,Rp88.073
 Daging Sapi Murni,2023,Desember,Rp135.476
 Daging Ayam Ras,2023,Desember,Rp35.499
 Telur Ayam Ras,2023,Desember,Rp28.520
 Gula Pasir Lokal/Curah,2023,Desember,Rp17.342
 Tepung Terigu Curah,2023,Desember,Rp10.914
 Tepung Terigu Kemasan,2023,Desember,Rp13.654
 Minyak Goreng Kemasan,2023,Desember,Rp17.555
 Minyak Goreng Curah,2023,Desember,Rp14.764
 Jagung Tk. Peternak,2023,Desember,Rp7.608
 Ikan Kembung,2023,Desember,Rp38.903
 Ikan Tongkol,2023,Desember,Rp34.442
 Ikan Bandeng,2023,Desember,Rp35.134
 Garam konsumsi,2023,Desember,Rp12.051
 Beras Premium,2024,Januari,Rp15.217
 Beras Medium,2024,Januari,Rp13.411
 Kedelai Biji Kering,2024,Januari,Rp13.594
 Bawang Merah,2024,Januari,Rp37.119
 Bawang Putih (Bonggol),2024,Januari,Rp38.980
 Cabai Merah Keriting,2024,Januari,Rp52.611
Cabai Rawit Merah,2024,Januari,Rp56.640
 Daging Sapi Murni,2024,Januari,Rp135.059
 Daging Ayam Ras,2024,Januari,Rp36.139
 Telur Ayam Ras,2024,Januari,Rp28.445
 Gula Pasir Lokal/Curah,2024,Januari,Rp17.414
 Tepung Terigu Curah,2024,Januari,Rp10.818
 Tepung Terigu Kemasan,2024,Januari,Rp13.606
 Minyak Goreng Kemasan,2024,Januari,Rp17.465
 Minyak Goreng Curah,2024,Januari,Rp14.899
 Jagung Tk. Peternak,2024,Januari,Rp8.352
 Ikan Kembung,2024,Januari,Rp38.930
 Ikan Tongkol,2024,Januari,Rp33.874
 Ikan Bandeng,2024,Januari,Rp35.104
 Garam konsumsi,2024,Januari,Rp12.064
 Beras Premium,2024,Februari,Rp15.970
 Beras Medium,2024,Februari,Rp13.998
 Kedelai Biji Kering,2024,Februari,Rp13.528
 Bawang Merah,2024,Februari,Rp34.485
 Bawang Putih (Bonggol),2024,Februari,Rp39.008
 Cabai Merah Keriting,2024,Februari,Rp60.191
Cabai Rawit Merah,2024,Februari,Rp56.139
 Daging Sapi Murni,2024,Februari,Rp134.886
 Daging Ayam Ras,2024,Februari,Rp36.848
 Telur Ayam Ras,2024,Februari,Rp29.087
 Gula Pasir Lokal/Curah,2024,Februari,Rp17.609
 Tepung Terigu Curah,2024,Februari,Rp10.781
 Tepung Terigu Kemasan,2024,Februari,Rp13.655
 Minyak Goreng Kemasan,2024,Februari,Rp17.647
 Minyak Goreng Curah,2024,Februari,Rp15.310
 Jagung Tk. Peternak,2024,Februari,Rp8.995
 Ikan Kembung,2024,Februari,Rp38.809
 Ikan Tongkol,2024,Februari,Rp33.583
 Ikan Bandeng,2024,Februari,Rp34.891
 Garam konsumsi,2024,Februari,Rp12.218
 Beras Premium,2024,Maret,Rp17.199
 Beras Medium,2024,Maret,Rp14.764
 Kedelai Biji Kering,2024,Maret,Rp14.093
 Bawang Merah,2024,Maret,Rp38.381
 Bawang Putih (Bonggol),2024,Maret,Rp43.524
 Cabai Merah Keriting,2024,Maret,Rp60.438
Cabai Rawit Merah,2024,Maret,Rp62.924
 Daging Sapi Murni,2024,Maret,Rp138.887
 Daging Ayam Ras,2024,Maret,Rp40.440
 Telur Ayam Ras,2024,Maret,Rp34.001
 Gula Pasir Lokal/Curah,2024,Maret,Rp18.535
 Tepung Terigu Curah,2024,Maret,Rp11.524
 Tepung Terigu Kemasan,2024,Maret,Rp14.446
 Minyak Goreng Kemasan,2024,Maret,Rp19.060
 Minyak Goreng Curah,2024,Maret,Rp16.375
 Jagung Tk. Peternak,2024,Maret,Rp10.089
 Ikan Kembung,2024,Maret,Rp40.702
 Ikan Tongkol,2024,Maret,Rp35.754
 Ikan Bandeng,2024,Maret,Rp38.691
 Garam konsumsi,2024,Maret,Rp12.690
 Beras Premium,2024,April,Rp16.902
 Beras Medium,2024,April,Rp14.476
 Kedelai Biji Kering,2024,April,Rp14.156
 Bawang Merah,2024,April,Rp49.654
 Bawang Putih (Bonggol),2024,April,Rp45.851
 Cabai Merah Keriting,2024,April,Rp53.329
Cabai Rawit Merah,2024,April,Rp59.615
 Daging Sapi Murni,2024,April,Rp140.631
 Daging Ayam Ras,2024,April,Rp41.132
 Telur Ayam Ras,2024,April,Rp33.748
 Gula Pasir Lokal/Curah,2024,April,Rp18.737
 Tepung Terigu Curah,2024,April,Rp11.474
 Tepung Terigu Kemasan,2024,April,Rp14.417
 Minyak Goreng Kemasan,2024,April,Rp19.187
 Minyak Goreng Curah,2024,April,Rp16.530
 Jagung Tk. Peternak,2024,April,Rp9.765
 Ikan Kembung,2024,April,Rp40.775
 Ikan Tongkol,2024,April,Rp35.784
 Ikan Bandeng,2024,April,Rp38.475
 Garam konsumsi,2024,April,Rp12.590
 Beras Premium,2024,Mei,Rp16.335
 Beras Medium,2024,Mei,Rp14.111
 Kedelai Biji Kering,2024,Mei,Rp12.738
 Bawang Merah,2024,Mei,Rp51.260
 Bawang Putih (Bonggol),2024,Mei,Rp46.480
 Cabai Merah Keriting,2024,Mei,Rp52.388
Cabai Rawit Merah,2024,Mei,Rp55.740
 Daging Sapi Murni,2024,Mei,Rp139.007
 Daging Ayam Ras,2024,Mei,Rp40.703
 Telur Ayam Ras,2024,Mei,Rp33.561
 Gula Pasir Lokal/Curah,2024,Mei,Rp19.060
 Tepung Terigu Curah,2024,Mei,Rp11.090
 Tepung Terigu Kemasan,2024,Mei,Rp14.383
 Minyak Goreng Kemasan,2024,Mei,Rp19.098
 Minyak Goreng Curah,2024,Mei,Rp16.433
 Jagung Tk. Peternak,2024,Mei,Rp7.232
 Ikan Kembung,2024,Mei,Rp40.279
 Ikan Tongkol,2024,Mei,Rp35.288
 Ikan Bandeng,2024,Mei,Rp38.259
 Garam konsumsi,2024,Mei,Rp12.287
Beras SPHP,2024,Juni,Rp13.188
 Beras Premium,2024,Juni,Rp16.060
 Beras Medium,2024,Juni,Rp13.964
 Kedelai Biji Kering,2024,Juni,Rp12.439
 Bawang Merah,2024,Juni,Rp46.608
 Bawang Putih (Bonggol),2024,Juni,Rp45.566
 Cabai Merah Keriting,2024,Juni,Rp58.827
Cabai Rawit Merah,2024,Juni,Rp59.205
 Daging Sapi Murni,2024,Juni,Rp139.682
 Daging Ayam Ras,2024,Juni,Rp40.009
 Telur Ayam Ras,2024,Juni,Rp33.490
 Gula Pasir Lokal/Curah,2024,Juni,Rp18.991
 Tepung Terigu Curah,2024,Juni,Rp10.829
 Tepung Terigu Kemasan,2024,Juni,Rp14.291
 Minyak Goreng Kemasan,2024,Juni,Rp19.078
 Minyak Goreng Curah,2024,Juni,Rp16.397
 Jagung Tk. Peternak,2024,Juni,Rp6.203
 Ikan Kembung,2024,Juni,Rp40.583
 Ikan Tongkol,2024,Juni,Rp35.616
 Ikan Bandeng,2024,Juni,Rp38.090
 Garam konsumsi,2024,Juni,Rp12.350
Beras SPHP,2024,Juli,Rp12.819
 Beras Premium,2024,Juli,Rp16.070
 Beras Medium,2024,Juli,Rp14.045
 Kedelai Biji Kering,2024,Juli,Rp12.426
 Bawang Merah,2024,Juli,Rp38.338
 Bawang Putih (Bonggol),2024,Juli,Rp43.785
 Cabai Merah Keriting,2024,Juli,Rp54.329
Cabai Rawit Merah,2024,Juli,Rp65.290
 Daging Sapi Murni,2024,Juli,Rp139.196
 Daging Ayam Ras,2024,Juli,Rp38.926
 Telur Ayam Ras,2024,Juli,Rp32.393
 Gula Pasir Lokal/Curah,2024,Juli,Rp18.804
 Tepung Terigu Curah,2024,Juli,Rp10.712
 Tepung Terigu Kemasan,2024,Juli,Rp14.297
 Minyak Goreng Kemasan,2024,Juli,Rp19.190
 Minyak Goreng Curah,2024,Juli,Rp16.585
 Jagung Tk. Peternak,2024,Juli,Rp6.529
 Ikan Kembung,2024,Juli,Rp40.133
 Ikan Tongkol,2024,Juli,Rp35.204
 Ikan Bandeng,2024,Juli,Rp37.543
 Garam konsumsi,2024,Juli,Rp12.377
Beras SPHP,2024,Agustus,Rp12.602
 Beras Premium,2024,Agustus,Rp15.606
 Beras Medium,2024,Agustus,Rp13.643
 Kedelai Biji Kering,2024,Agustus,Rp12.060
 Bawang Merah,2024,Agustus,Rp27.097
 Bawang Putih (Bonggol),2024,Agustus,Rp40.258
 Cabai Merah Keriting,2024,Agustus,Rp46.252
Cabai Rawit Merah,2024,Agustus,Rp63.725
 Daging Sapi Murni,2024,Agustus,Rp136.007
 Daging Ayam Ras,2024,Agustus,Rp35.809
 Telur Ayam Ras,2024,Agustus,Rp29.069
 Gula Pasir Lokal/Curah,2024,Agustus,Rp18.003
 Tepung Terigu Curah,2024,Agustus,Rp10.337
 Tepung Terigu Kemasan,2024,Agustus,Rp13.469
 Minyak Goreng Kemasan,2024,Agustus,Rp18.195
 Minyak Goreng Curah,2024,Agustus,Rp16.151
 Jagung Tk. Peternak,2024,Agustus,Rp6.099
 Ikan Kembung,2024,Agustus,Rp38.471
 Ikan Tongkol,2024,Agustus,Rp32.804
 Ikan Bandeng,2024,Agustus,Rp34.442
 Garam konsumsi,2024,Agustus,Rp11.981
Beras SPHP,2024,September,Rp12.589
 Beras Premium,2024,September,Rp15.582
 Beras Medium,2024,September,Rp13.627
 Kedelai Biji Kering,2024,September,Rp11.323
 Bawang Merah,2024,September,Rp27.458
 Bawang Putih (Bonggol),2024,September,Rp39.960
 Cabai Merah Keriting,2024,September,Rp38.206
Cabai Rawit Merah,2024,September,Rp48.753
 Daging Sapi Murni,2024,September,Rp135.632
 Daging Ayam Ras,2024,September,Rp35.319
 Telur Ayam Ras,2024,September,Rp28.662
 Gula Pasir Lokal/Curah,2024,September,Rp17.862
 Tepung Terigu Curah,2024,September,Rp10.285
 Tepung Terigu Kemasan,2024,September,Rp13.244
 Minyak Goreng Kemasan,2024,September,Rp18.223
 Minyak Goreng Curah,2024,September,Rp16.320
 Jagung Tk. Peternak,2024,September,Rp6.228
 Ikan Kembung,2024,September,Rp38.532
 Ikan Tongkol,2024,September,Rp32.863
 Ikan Bandeng,2024,September,Rp34.436
 Garam konsumsi,2024,September,Rp11.944
Beras SPHP,2024,Oktober,Rp12.573
 Beras Premium,2024,Oktober,Rp15.545
 Beras Medium,2024,Oktober,Rp13.606
 Kedelai Biji Kering,2024,Oktober,Rp10.786
 Bawang Merah,2024,Oktober,Rp29.985
 Bawang Putih (Bonggol),2024,Oktober,Rp40.203
 Cabai Merah Keriting,2024,Oktober,Rp33.637
Cabai Rawit Merah,2024,Oktober,Rp47.263
 Daging Sapi Murni,2024,Oktober,Rp135.503
 Daging Ayam Ras,2024,Oktober,Rp36.127
 Telur Ayam Ras,2024,Oktober,Rp28.847
 Gula Pasir Lokal/Curah,2024,Oktober,Rp17.978
 Tepung Terigu Curah,2024,Oktober,Rp10.239
 Tepung Terigu Kemasan,2024,Oktober,Rp13.189
 Minyak Goreng Kemasan,2024,Oktober,Rp18.336
 Minyak Goreng Curah,2024,Oktober,Rp16.579
 Jagung Tk. Peternak,2024,Oktober,Rp6.271
 Ikan Kembung,2024,Oktober,Rp38.388
 Ikan Tongkol,2024,Oktober,Rp32.594
 Ikan Bandeng,2024,Oktober,Rp34.419
 Garam konsumsi,2024,Oktober,Rp11.814
Beras SPHP,2024,November,Rp12.552
 Beras Premium,2024,November,Rp15.491
 Beras Medium,2024,November,Rp13.534
 Kedelai Biji Kering,2024,November,Rp10.622
 Bawang Merah,2024,November,Rp37.628
 Bawang Putih (Bonggol),2024,November,Rp41.214
 Cabai Merah Keriting,2024,November,Rp31.690
Cabai Rawit Merah,2024,November,Rp42.951
 Daging Sapi Murni,2024,November,Rp135.508
 Daging Ayam Ras,2024,November,Rp36.778
 Telur Ayam Ras,2024,November,Rp28.716
 Gula Pasir Lokal/Curah,2024,November,Rp17.993
 Tepung Terigu Curah,2024,November,Rp10.216
 Tepung Terigu Kemasan,2024,November,Rp13.192
 Minyak Goreng Kemasan,2024,November,Rp18.485
 Minyak Goreng Curah,2024,November,Rp17.033
 Jagung Tk. Peternak,2024,November,Rp6.270
 Ikan Kembung,2024,November,Rp38.235
 Ikan Tongkol,2024,November,Rp32.244
 Ikan Bandeng,2024,November,Rp34.300
 Garam konsumsi,2024,November,Rp11.822
Beras SPHP,2024,Desember,Rp12.513
 Beras Premium,2024,Desember,Rp15.474
 Beras Medium,2024,Desember,Rp13.518
 Kedelai Biji Kering,2024,Desember,Rp10.493
 Bawang Merah,2024,Desember,Rp40.850
 Bawang Putih (Bonggol),2024,Desember,Rp42.574
 Cabai Merah Keriting,2024,Desember,Rp38.610
Cabai Rawit Merah,2024,Desember,Rp47.066
 Daging Sapi Murni,2024,Desember,Rp135.781
 Daging Ayam Ras,2024,Desember,Rp37.469
 Telur Ayam Ras,2024,Desember,Rp29.950
 Gula Pasir Lokal/Curah,2024,Desember,Rp18.021
 Tepung Terigu Curah,2024,Desember,Rp10.204
 Tepung Terigu Kemasan,2024,Desember,Rp13.167
 Minyak Goreng Kemasan,2024,Desember,Rp18.783
 Minyak Goreng Curah,2024,Desember,Rp17.511
 Jagung Tk. Peternak,2024,Desember,Rp6.314
 Ikan Kembung,2024,Desember,Rp39.111
 Ikan Tongkol,2024,Desember,Rp32.997
 Ikan Bandeng,2024,Desember,Rp34.788
 Garam konsumsi,2024,Desember,Rp11.819
